Counter({1: 283, 0: 188, 2: 67})
 69/300 trn-loss-MF: 0.5379  trn-loss-MF: 0.5379 trn-loss-MF: 0.5379 trn-auc: 0.8413  acc: 0.7268 val-auc: 0.7606  acc: 0.6167
 70/300 trn-loss-MF: 0.5994  trn-loss-MF: 0.5994 trn-loss-MF: 0.5994 trn-auc: 0.8638  acc: 0.7472 val-auc: 0.7738  acc: 0.6167
 71/300 trn-loss-MF: 0.5183  trn-loss-MF: 0.5183 trn-loss-MF: 0.5183 trn-auc: 0.8792  acc: 0.7751 val-auc: 0.7920  acc: 0.6500
 72/300 trn-loss-MF: 0.4389  trn-loss-MF: 0.4389 trn-loss-MF: 0.4389 trn-auc: 0.9052  acc: 0.8439 val-auc: 0.8600  acc: 0.7833
 73/300 trn-loss-MF: 0.3970  trn-loss-MF: 0.3970 trn-loss-MF: 0.3970 trn-auc: 0.9194  acc: 0.8699 val-auc: 0.8598  acc: 0.7833
 74/300 trn-loss-MF: 0.3703  trn-loss-MF: 0.3703 trn-loss-MF: 0.3703 trn-auc: 0.9364  acc: 0.9089 val-auc: 0.8625  acc: 0.8333
 75/300 trn-loss-MF: 0.3481  trn-loss-MF: 0.3481 trn-loss-MF: 0.3481 trn-auc: 0.9209  acc: 0.8978 val-auc: 0.8909  acc: 0.8833
 76/300 trn-loss-MF: 0.3766  trn-loss-MF: 0.3766 trn-loss-MF: 0.3766 trn-auc: 0.8623  acc: 0.7751 val-auc: 0.8435  acc: 0.8000
 77/300 trn-loss-MF: 0.4884  trn-loss-MF: 0.4884 trn-loss-MF: 0.4884 trn-auc: 0.9122  acc: 0.8550 val-auc: 0.8530  acc: 0.8167
 78/300 trn-loss-MF: 0.3656  trn-loss-MF: 0.3656 trn-loss-MF: 0.3656 trn-auc: 0.9185  acc: 0.8866 val-auc: 0.8782  acc: 0.8667
 79/300 trn-loss-MF: 0.3600  trn-loss-MF: 0.3600 trn-loss-MF: 0.3600 trn-auc: 0.9345  acc: 0.8941 val-auc: 0.9240  acc: 0.9000
 80/300 trn-loss-MF: 0.2982  trn-loss-MF: 0.2982 trn-loss-MF: 0.2982 trn-auc: 0.9343  acc: 0.8885 val-auc: 0.9017  acc: 0.8667
 81/300 trn-loss-MF: 0.2872  trn-loss-MF: 0.2872 trn-loss-MF: 0.2872 trn-auc: 0.9447  acc: 0.9108 val-auc: 0.8202  acc: 0.7667
 82/300 trn-loss-MF: 0.2713  trn-loss-MF: 0.2713 trn-loss-MF: 0.2713 trn-auc: 0.9532  acc: 0.9201 val-auc: 0.8608  acc: 0.8167
 83/300 trn-loss-MF: 0.2415  trn-loss-MF: 0.2415 trn-loss-MF: 0.2415 trn-auc: 0.9626  acc: 0.9405 val-auc: 0.8847  acc: 0.8667
 84/300 trn-loss-MF: 0.2063  trn-loss-MF: 0.2063 trn-loss-MF: 0.2063 trn-auc: 0.9749  acc: 0.9591 val-auc: 0.8898  acc: 0.8833
 85/300 trn-loss-MF: 0.1765  trn-loss-MF: 0.1765 trn-loss-MF: 0.1765 trn-auc: 0.9737  acc: 0.9517 val-auc: 0.8458  acc: 0.8000
 86/300 trn-loss-MF: 0.1641  trn-loss-MF: 0.1641 trn-loss-MF: 0.1641 trn-auc: 0.9738  acc: 0.9517 val-auc: 0.8469  acc: 0.8000
 87/300 trn-loss-MF: 0.1517  trn-loss-MF: 0.1517 trn-loss-MF: 0.1517 trn-auc: 0.9845  acc: 0.9721 val-auc: 0.8898  acc: 0.8833
 88/300 trn-loss-MF: 0.1225  trn-loss-MF: 0.1225 trn-loss-MF: 0.1225 trn-auc: 0.9865  acc: 0.9777 val-auc: 0.8993  acc: 0.9000
 89/300 trn-loss-MF: 0.1174  trn-loss-MF: 0.1174 trn-loss-MF: 0.1174 trn-auc: 0.9857  acc: 0.9740 val-auc: 0.8708  acc: 0.8500
 90/300 trn-loss-MF: 0.1051  trn-loss-MF: 0.1051 trn-loss-MF: 0.1051 trn-auc: 0.9858  acc: 0.9740 val-auc: 0.8720  acc: 0.8500
 91/300 trn-loss-MF: 0.0946  trn-loss-MF: 0.0946 trn-loss-MF: 0.0946 trn-auc: 0.9687  acc: 0.9572 val-auc: 0.8803  acc: 0.8667
 92/300 trn-loss-MF: 0.1487  trn-loss-MF: 0.1487 trn-loss-MF: 0.1487 trn-auc: 0.9735  acc: 0.9647 val-auc: 0.8814  acc: 0.8667
 93/300 trn-loss-MF: 0.1185  trn-loss-MF: 0.1185 trn-loss-MF: 0.1185 trn-auc: 0.9792  acc: 0.9665 val-auc: 0.8327  acc: 0.8167
 94/300 trn-loss-MF: 0.1096  trn-loss-MF: 0.1096 trn-loss-MF: 0.1096 trn-auc: 0.9641  acc: 0.9517 val-auc: 0.8494  acc: 0.8500
 95/300 trn-loss-MF: 0.1534  trn-loss-MF: 0.1534 trn-loss-MF: 0.1534 trn-auc: 0.8149  acc: 0.7528 val-auc: 0.7508  acc: 0.6833
